timestamp,open,high,low,close,volume
1759624221,3000.0,3057.9,3000.0,3037.49,122.94
1759624401,3037.49,3064.36,2989.65,3027.0,166.1
1759624581,3027.0,3115.94,3027.0,3076.42,84.23
1759624761,3076.42,3217.95,3076.42,3195.81,138.5
1759624941,3195.81,3216.59,3137.73,3177.16,97.87
1759625121,3177.16,3177.72,3139.52,3158.62,157.51
1759625301,3158.62,3312.09,3158.62,3285.81,74.95
1759625481,3285.81,3371.16,3285.81,3349.46,97.24
1759625661,3349.46,3349.46,3274.21,3310.38,103.76
1759625841,3310.38,3373.06,3310.38,3355.59,64.54
1759626021,3355.59,3355.59,3290.72,3316.94,148.96
1759626201,3316.94,3316.94,3258.92,3278.54,134.1
1759626381,3278.54,3318.88,3277.99,3298.43,81.74
1759626561,3298.43,3298.43,3123.24,3144.38,60.08
1759626741,3144.38,3144.38,2976.39,3011.66,119.51
1759626921,3011.66,3011.66,2930.1,2969.63,64.83
1759627101,2969.63,2969.63,2876.71,2895.38,95.97
1759627281,2895.38,2955.15,2881.27,2918.21,95.86
1759627461,2918.21,2918.21,2826.8,2852.71,95.24
1759627641,2852.71,2852.71,2737.77,2753.75,190.92
1759627821,2753.75,2886.47,2753.75,2856.52,168.17
1759628001,2856.52,2873.35,2807.54,2840.44,127.14
1759628181,2840.44,2862.02,2828.46,2845.24,146.41
1759628361,2845.24,2845.24,2727.69,2745.68,112.16
1759628541,2745.68,2745.68,2677.98,2708.57,167.33
1759628721,2708.57,2748.28,2683.9,2716.09,150.73
1759628901,2716.09,2716.09,2621.92,2639.05,101.92
1759629081,2639.05,2678.41,2639.05,2663.95,157.92
1759629261,2663.95,2663.95,2586.13,2624.25,89.62
1759629441,2624.25,2624.25,2589.87,2605.18,121.34
1759629621,2605.18,2605.18,2531.47,2566.29,132.8
1759629801,2566.29,2702.61,2566.29,2687.92,196.14
1759629981,2687.92,2722.71,2651.31,2687.01,69.74
1759630161,2687.01,2687.01,2579.68,2616.89,117.6
1759630341,2616.89,2694.55,2616.89,2671.26,119.16
1759630521,2671.26,2671.26,2556.38,2590.96,148.92
1759630701,2590.96,2619.09,2589.96,2604.53,193.64
1759630881,2604.53,2604.53,2463.94,2480.0,161.84
1759631061,2480.0,2480.0,2371.75,2399.01,78.13
1759631241,2399.01,2427.01,2394.67,2410.84,180.55
1759631421,2410.84,2478.35,2410.84,2455.76,148.19
1759631601,2455.76,2491.07,2441.54,2466.31,159.1
1759631781,2466.31,2483.27,2435.1,2459.19,93.11
1759631961,2459.19,2461.82,2419.67,2440.74,178.86
1759632141,2440.74,2440.74,2329.4,2352.17,82.02
1759632321,2352.17,2352.17,2277.08,2310.22,169.49
1759632501,2310.22,2310.22,2271.08,2283.77,199.84
1759632681,2283.77,2372.95,2283.77,2344.93,74.04
1759632861,2344.93,2382.6,2344.93,2365.16,153.87
1759633041,2365.16,2365.16,2234.22,2263.18,85.86
1759633221,2263.18,2298.86,2263.18,2281.59,96.07
1759633401,2281.59,2284.54,2234.92,2259.73,75.77
1759633581,2259.73,2259.73,2208.39,2221.81,151.83
1759633761,2221.81,2284.9,2221.81,2256.05,125.14
1759633941,2256.05,2334.95,2256.05,2314.95,114.81
1759634121,2314.95,2390.53,2314.95,2369.48,194.0
1759634301,2369.48,2369.48,2290.86,2320.29,81.21
1759634481,2320.29,2322.78,2282.06,2302.42,131.6
1759634661,2302.42,2347.41,2295.73,2321.57,120.23
1759634841,2321.57,2410.05,2321.57,2378.88,165.14
1759635021,2378.88,2378.88,2326.93,2350.56,178.16
1759635201,2350.56,2368.94,2310.4,2339.67,166.79
1759635381,2339.67,2339.67,2242.7,2275.85,89.97
1759635561,2275.85,2275.85,2191.84,2208.79,183.34
1759635741,2208.79,2282.8,2208.79,2254.12,188.98
1759635921,2254.12,2344.99,2254.12,2331.86,144.16
1759636101,2331.86,2342.67,2312.66,2327.67,125.58
1759636281,2327.67,2402.45,2327.67,2386.8,69.21
1759636461,2386.8,2420.81,2386.8,2408.48,144.54
1759636641,2408.48,2408.48,2349.59,2369.95,65.78
1759636821,2369.95,2411.13,2369.95,2391.46,75.34
1759637001,2391.46,2521.03,2391.46,2485.2,98.0
1759637181,2485.2,2503.68,2462.27,2482.97,175.98
1759637361,2482.97,2611.66,2482.97,2582.02,156.53
1759637541,2582.02,2582.02,2390.86,2418.34,191.93
1759637721,2418.34,2485.99,2418.34,2468.54,198.36
1759637901,2468.54,2506.85,2440.99,2473.92,138.35
1759638081,2473.92,2484.04,2426.95,2455.5,147.32
1759638261,2455.5,2474.88,2447.39,2461.14,82.7
1759638441,2461.14,2461.14,2307.61,2341.83,130.15
1759638621,2341.83,2349.46,2308.55,2329.01,164.31
1759638801,2329.01,2373.97,2325.82,2349.89,51.97
1759638981,2349.89,2468.48,2349.89,2438.34,159.83
1759639161,2438.34,2438.34,2390.94,2406.95,193.5
1759639341,2406.95,2406.95,2341.71,2358.79,118.66
1759639521,2358.79,2358.79,2315.06,2329.38,140.49
1759639701,2329.38,2404.17,2329.38,2383.31,102.98
1759639881,2383.31,2434.86,2371.09,2402.98,51.43
1759640061,2402.98,2402.98,2340.58,2371.36,135.72
1759640241,2371.36,2437.68,2366.29,2401.99,138.42
1759640421,2401.99,2421.19,2394.45,2407.82,57.6
1759640601,2407.82,2500.96,2407.82,2466.84,176.18
1759640781,2466.84,2466.84,2403.42,2423.92,142.7
1759640961,2423.92,2427.94,2380.36,2404.15,195.07
1759641141,2404.15,2415.22,2346.18,2380.7,197.58
1759641321,2380.7,2380.7,2263.8,2295.17,186.43
1759641501,2295.17,2328.81,2295.17,2312.22,174.65
1759641681,2312.22,2355.5,2299.23,2327.36,194.42
1759641861,2327.36,2352.59,2302.72,2327.66,62.78
1759642041,2327.66,2339.44,2288.65,2314.05,152.99
1759642221,2314.05,2314.05,2217.51,2233.6,109.12
1759642401,2233.6,2234.51,2185.95,2210.23,106.12
1759642581,2210.23,2210.55,2172.2,2191.38,69.96
1759642761,2191.38,2191.38,2116.92,2147.86,162.57
1759642941,2147.86,2149.94,2128.5,2139.22,164.84
1759643121,2139.22,2187.73,2134.15,2160.94,51.46
1759643301,2160.94,2284.98,2160.94,2265.28,141.01
1759643481,2265.28,2296.86,2253.51,2275.19,166.7
1759643661,2275.19,2311.07,2268.69,2289.88,73.08
1759643841,2289.88,2319.37,2251.88,2285.63,86.31
1759644021,2285.63,2285.63,2152.05,2178.57,71.47
1759644201,2178.57,2195.18,2159.08,2177.13,116.3
1759644381,2177.13,2195.5,2165.32,2180.41,117.49
1759644561,2180.41,2334.14,2180.41,2318.9,133.85
1759644741,2318.9,2334.63,2280.92,2307.78,59.37
1759644921,2307.78,2357.12,2293.36,2325.24,77.77
1759645101,2325.24,2340.08,2306.37,2323.23,149.2
1759645281,2323.23,2323.23,2234.47,2256.33,124.91
1759645461,2256.33,2336.31,2256.33,2321.72,170.86
1759645641,2321.72,2392.21,2321.72,2365.78,70.31
1759645821,2365.78,2434.12,2365.78,2413.03,171.56
1759646001,2413.03,2413.03,2333.59,2358.79,66.3
1759646181,2358.79,2464.3,2358.79,2442.98,86.4
1759646361,2442.98,2442.98,2334.85,2358.85,176.5
1759646541,2358.85,2416.12,2358.85,2393.71,115.0
1759646721,2393.71,2563.98,2393.71,2528.45,136.43
1759646901,2528.45,2528.45,2440.31,2466.61,89.29
1759647081,2466.61,2466.61,2404.99,2431.93,136.39
1759647261,2431.93,2459.86,2416.13,2438.0,198.6
1759647441,2438.0,2440.77,2374.23,2407.5,162.44
1759647621,2407.5,2407.5,2291.93,2315.96,119.31
1759647801,2315.96,2335.82,2304.04,2319.93,95.86
1759647981,2319.93,2319.93,2230.35,2259.13,118.06
1759648161,2259.13,2317.64,2254.44,2286.04,72.19
1759648341,2286.04,2286.04,2211.56,2234.09,147.04
1759648521,2234.09,2345.97,2234.09,2322.36,183.38
1759648701,2322.36,2322.36,2243.4,2277.33,67.38
1759648881,2277.33,2277.33,2244.83,2259.06,69.55
1759649061,2259.06,2332.71,2259.06,2305.48,105.9
1759649241,2305.48,2305.48,2208.04,2235.62,110.82
1759649421,2235.62,2273.72,2223.01,2248.37,165.48
1759649601,2248.37,2347.4,2248.37,2323.05,130.93
1759649781,2323.05,2323.05,2218.42,2231.55,111.62
1759649961,2231.55,2265.32,2218.43,2241.87,119.3
1759650141,2241.87,2288.09,2224.88,2256.48,185.98
1759650321,2256.48,2331.44,2256.48,2301.02,106.29
1759650501,2301.02,2301.02,2203.8,2230.96,109.29
1759650681,2230.96,2230.96,2142.7,2158.51,101.44
1759650861,2158.51,2199.35,2158.51,2186.86,99.77
1759651041,2186.86,2224.32,2181.99,2203.16,193.32
1759651221,2203.16,2235.03,2198.97,2217.0,185.37
1759651401,2217.0,2252.58,2217.0,2236.28,78.65
1759651581,2236.28,2236.28,2176.18,2198.59,150.88
